seed,n_train,n_test,n_local_train,n_users,score_name,score,time,id_user,n_local_iterations,policy,data_name,network_topology,type_sequence,BN_Structure
10,15,45,15,7,local,-0.5348950933162329,99,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4852821690367924,99,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.485938777258783,99,0,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,99,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5694613816837005,100,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5388920802402454,100,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5297679726073623,100,1,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,100,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.45348494283432234,101,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.48462604035572043,101,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.49511840809928737,101,2,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,101,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.49622344332413676,102,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4903096665845651,102,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.48313985389281483,102,3,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,102,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3752567664373202,103,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4987785012188742,103,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.526591585618246,103,4,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,103,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3544811054609881,104,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5376344267759707,104,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5984924380707947,104,5,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,104,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.33888919678160173,105,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4956555600570601,105,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5223376239014916,105,6,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,105,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5329458269095961,106,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.48424245041862196,106,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4847798559125,106,0,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,106,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5673979762555202,107,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5415428719759096,107,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5328310844062875,107,1,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,107,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.45277366593646345,108,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4839489307137577,108,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.49643673502811764,108,2,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,108,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.4949868449899942,109,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.48911830815898893,109,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4823693537004766,109,3,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,109,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.37363261079021387,110,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4987605511702121,110,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5283383135865697,110,4,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,110,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3506428623653645,111,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5391845150507654,111,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6020584373819657,111,5,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,111,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3382161687182878,112,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4943693150289179,112,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5213452709219251,112,6,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,112,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5311200430341868,113,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.48333678679615233,113,0,1,info,data/iris.csv,Given,Given,NB
